WDIR,WSPD,GST,WVHT,dts
120.0,5.83152,5.83152,0.0,2023-06-18 12:50:00
130.0,3.88768,5.83152,,2023-06-18 12:40:00
120.0,5.83152,5.83152,,2023-06-18 12:30:00
120.0,5.83152,5.83152,0.0,2023-06-18 12:20:00
100.0,3.88768,5.83152,0.0,2023-06-18 12:10:00
90.0,3.88768,5.83152,,2023-06-18 12:00:00
90.0,3.88768,5.83152,0.0,2023-06-18 11:50:00
90.0,3.88768,5.83152,,2023-06-18 11:40:00
,0.0,3.88768,,2023-06-18 11:30:00
,0.0,0.0,0.328,2023-06-18 11:20:00
,0.0,0.0,,2023-06-18 11:10:00
,0.0,0.0,,2023-06-18 11:00:00
,0.0,0.0,0.328,2023-06-18 10:50:00
,0.0,0.0,,2023-06-18 10:40:00
,0.0,0.0,,2023-06-18 10:30:00
,0.0,0.0,0.328,2023-06-18 10:20:00
,0.0,0.0,,2023-06-18 10:10:00
,0.0,0.0,,2023-06-18 10:00:00
,0.0,0.0,0.328,2023-06-18 09:50:00
,0.0,0.0,,2023-06-18 09:40:00
,0.0,0.0,,2023-06-18 09:30:00
,0.0,0.0,0.328,2023-06-18 09:20:00
,0.0,0.0,,2023-06-18 09:10:00
,0.0,0.0,,2023-06-18 09:00:00
,0.0,0.0,0.328,2023-06-18 08:50:00
,0.0,0.0,,2023-06-18 08:40:00
,0.0,0.0,,2023-06-18 08:30:00
,0.0,0.0,0.328,2023-06-18 08:20:00
,0.0,3.88768,,2023-06-18 08:10:00
,0.0,0.0,,2023-06-18 08:00:00
,0.0,0.0,0.328,2023-06-18 07:50:00
,0.0,0.0,,2023-06-18 07:40:00
,0.0,0.0,,2023-06-18 07:30:00
,0.0,0.0,0.328,2023-06-18 07:20:00
,0.0,0.0,,2023-06-18 07:10:00
,0.0,0.0,,2023-06-18 07:00:00
,0.0,0.0,0.328,2023-06-18 06:50:00
,0.0,0.0,,2023-06-18 06:40:00
,0.0,0.0,,2023-06-18 06:30:00
,0.0,0.0,0.328,2023-06-18 06:20:00
,0.0,0.0,,2023-06-18 06:10:00
,0.0,0.0,,2023-06-18 06:00:00
170.0,3.88768,3.88768,0.328,2023-06-18 05:50:00
,0.0,0.0,,2023-06-18 05:40:00
,0.0,0.0,,2023-06-18 05:30:00
,0.0,0.0,0.328,2023-06-18 05:20:00
,0.0,0.0,,2023-06-18 05:10:00
,0.0,0.0,,2023-06-18 05:00:00
,0.0,0.0,0.328,2023-06-18 04:50:00
,0.0,0.0,,2023-06-18 04:40:00
,0.0,0.0,,2023-06-18 04:30:00
,0.0,0.0,0.328,2023-06-18 04:20:00
,0.0,0.0,,2023-06-18 04:10:00
,0.0,0.0,,2023-06-18 04:00:00
,0.0,0.0,0.328,2023-06-18 03:50:00
,0.0,0.0,,2023-06-18 03:40:00
,0.0,0.0,,2023-06-18 03:30:00
,0.0,0.0,0.328,2023-06-18 03:20:00
,0.0,0.0,0.328,2023-06-18 03:00:00
,0.0,0.0,0.328,2023-06-18 02:50:00
,0.0,0.0,0.328,2023-06-18 02:40:00
,0.0,0.0,,2023-06-18 02:30:00
,0.0,0.0,0.328,2023-06-18 02:20:00
,0.0,0.0,0.328,2023-06-18 02:10:00
,0.0,0.0,,2023-06-18 02:00:00
,0.0,0.0,0.328,2023-06-18 01:50:00
,0.0,0.0,,2023-06-18 01:40:00
,0.0,0.0,,2023-06-18 01:30:00
